node,latitude,longitude
m3-1,48.5266976,7.7355625
m3-2,48.5266736,7.7355820
m3-3,48.5266555,7.7356067
m3-4,48.5266347,7.7356296
m3-5,48.5266122,7.7356500
m3-6,48.5267475,7.7356638
m3-7,48.5265907,7.7356730
m3-8,48.5265703,7.7356926
m3-9,48.5267553,7.7356963
m3-10,48.5265508,7.7357135
m3-11,48.5267630,7.7357275
m3-12,48.5265301,7.7357355
m3-13,48.5265094,7.7357598
m3-14,48.5264894,7.7357789
m3-15,48.5264691,7.7358009
m3-16,48.5266167,7.7358223
m3-17,48.5264492,7.7358235
m3-18,48.5264304,7.7358478
m3-19,48.5266205,7.7358581
m3-20,48.5264108,7.7358721
m3-21,48.5263905,7.7358964
m3-22,48.5266263,7.7359007
m3-23,48.5263713,7.7359173
m3-24,48.5266308,7.7359327
m3-25,48.5263526,7.7359398
m3-26,48.5265397,7.7359451
m3-27,48.5263326,7.7359607
m3-28,48.5266359,7.7359647
m3-29,48.5265462,7.7359804
m3-30,48.5263131,7.7359833
m3-31,48.5266398,7.7360014
m3-32,48.5262934,7.7360081
m3-33,48.5265512,7.7360134
m3-34,48.5264845,7.7360151
m3-35,48.5262769,7.7360357
m3-36,48.5266443,7.7360363
m3-37,48.5264868,7.7360469
m3-38,48.5265558,7.7360469
m3-39,48.5262562,7.7360617
m3-40,48.5266475,7.7360731
m3-41,48.5265592,7.7360805
m3-42,48.5264921,7.7360823
m3-43,48.5262395,7.7360902
m3-44,48.5264016,7.7361071
m3-45,48.5266545,7.7361099
m3-46,48.5262208,7.7361103
m3-47,48.5264971,7.7361118
m3-48,48.5265646,7.7361164
m3-49,48.5262022,7.7361344
m3-50,48.5265017,7.7361442
m3-51,48.5266584,7.7361447
m3-52,48.5264033,7.7361448
m3-53,48.5265676,7.7361454
m3-54,48.5261844,7.7361619
m3-55,48.5263431,7.7361760
m3-56,48.5265063,7.7361778
m3-57,48.5264056,7.7361797
m3-58,48.5266597,7.7361806
m3-59,48.5265734,7.7361830
m3-60,48.5261662,7.7361894
m3-61,48.5263457,7.7362059
m3-62,48.5265113,7.7362090
m3-63,48.5266629,7.7362154
m3-64,48.5265765,7.7362160
